source,age_ka,age,d18O,d18O_sw,sealevel
846 Liseicki,486.35,0.48635,3.18,0.21,-16.62
846 Liseicki,489.65,0.48965,3.18,0.21,-16.72
846 Liseicki,492.5,0.4925,3.71,0.74,-59.19
846 Liseicki,495.13,0.49513,3.23,0.26,-20.87
846 Liseicki,497.98,0.49798,3.3,0.33,-26.55
846 Liseicki,500.83,0.50083,3.04,0.07,-5.84
846 Liseicki,503.68,0.50368,3.48,0.51,-41.11
846 Liseicki,505.97,0.50597,3.57,0.6,-48.38
846 Liseicki,508.26,0.50826,3.62,0.66,-52.44
846 Liseicki,510.54,0.51054,3.75,0.79,-62.91
846 Liseicki,512.87,0.51287,3.74,0.78,-62.17
846 Liseicki,516.37,0.51637,3.62,0.66,-52.67
846 Liseicki,517.13,0.51713,3.43,0.47,-37.5
846 Liseicki,520.36,0.52036,3.48,0.52,-41.59
846 Liseicki,523.94,0.52394,3.44,0.48,-38.49
846 Liseicki,527.64,0.52764,3.46,0.5,-40.2
846 Liseicki,532.28,0.53228,3.62,0.66,-53.13
846 Liseicki,535.99,0.53599,3.74,0.79,-62.83
846 Liseicki,540.06,0.54006,3.73,0.78,-62.15
846 Liseicki,543.53,0.54353,3.7,0.75,-59.85
846 Liseicki,548.07,0.54807,3.84,0.89,-71.18
846 Liseicki,552.18,0.55218,3.56,0.61,-48.9
846 Liseicki,556.12,0.55612,3.69,0.74,-59.41
846 Liseicki,558.83,0.55883,3.57,0.62,-49.89
846 Liseicki,562.07,0.56207,3.48,0.53,-42.78
846 Liseicki,564.07,0.56407,3.27,0.33,-26.04
846 Liseicki,566.08,0.56608,3.24,0.3,-23.7
846 Liseicki,568.75,0.56875,3.3,0.36,-28.57
846 Liseicki,570.74,0.57074,3.1,0.16,-12.63
846 Liseicki,572.43,0.57243,3.08,0.14,-11.08
846 Liseicki,575.08,0.57508,2.94,0,0.04
846 Liseicki,578.45,0.57845,3.23,0.29,-23.25
846 Liseicki,581.58,0.58158,3.71,0.77,-61.74
846 Liseicki,584.94,0.58494,3.76,0.82,-65.83
846 Liseicki,588.11,0.58811,3.57,0.63,-50.73
846 Liseicki,592.23,0.59223,3.4,0.47,-37.24
846 Liseicki,596.95,0.59695,3.37,0.44,-34.98
846 Liseicki,600.44,0.60044,3.44,0.51,-40.68
846 Liseicki,605.65,0.60565,3.37,0.44,-35.21
846 Liseicki,610.52,0.61052,3.15,0.22,-17.73
846 Liseicki,614.17,0.61417,3.38,0.45,-36.22
846 Liseicki,617.85,0.61785,3.54,0.61,-49.12
846 Liseicki,620.12,0.62012,3.75,0.82,-50.75
846 Liseicki,622.91,0.62291,4.24,1.32,-80.95
846 Liseicki,625.41,0.62541,4.14,1.22,-74.85
846 Liseicki,628,0.628,4.46,1.54,-94.59
846 Liseicki,629.67,0.62967,4.15,1.23,-75.54
846 Liseicki,630.97,0.63097,4.29,1.37,-84.18
846 Liseicki,632.31,0.63231,4.35,1.43,-87.9
846 Liseicki,633.9,0.6339,4.22,1.3,-79.93
846 Liseicki,635.13,0.63513,4.12,1.2,-73.8
846 Liseicki,637.61,0.63761,4.17,1.25,-76.93
846 Liseicki,639.62,0.63962,4.03,1.11,-68.35
846 Liseicki,642.22,0.64222,4.09,1.17,-72.1
846 Liseicki,644.01,0.64401,4.09,1.17,-72.13
846 Liseicki,646.01,0.64601,4.1,1.18,-72.78
846 Liseicki,647.6,0.6476,4.08,1.16,-71.58
846 Liseicki,650.75,0.65075,3.95,1.03,-63.65
846 Liseicki,653.75,0.65375,3.91,1,-61.24
846 Liseicki,655.11,0.65511,3.97,1.06,-64.96
846 Liseicki,657.02,0.65702,3.9,0.99,-60.69
846 Liseicki,658.38,0.65838,3.87,0.96,-58.87
846 Liseicki,660.02,0.66002,3.83,0.92,-56.44
846 Liseicki,661.96,0.66196,3.69,0.78,-47.87
846 Liseicki,663.71,0.66371,3.91,1,-61.44
846 Liseicki,664.29,0.66429,3.68,0.77,-47.3
846 Liseicki,667.49,0.66749,3.91,1,-61.51
846 Liseicki,670.4,0.6704,3.78,0.87,-53.57
846 Liseicki,672.14,0.67214,3.74,0.83,-51.14
846 Liseicki,673.43,0.67343,3.92,1.01,-62.24
846 Liseicki,674.68,0.67468,3.78,0.87,-53.65
846 Liseicki,676.2,0.6762,3.85,0.94,-57.99
846 Liseicki,677.73,0.67773,3.8,0.89,-54.94
846 Liseicki,680.27,0.68027,3.79,0.88,-54.37
846 Liseicki,684.35,0.68435,3.39,0.48,-29.84
